#	word	セット	意味		
1	tei	機能性内容語	既出の名詞を指示		
2	koi	機能性内容語	疑問詞		
3	poi	機能性内容語	新出の名詞を指示		
4	soi	機能性内容語	あなた		
5	fau	機能性内容語	関係詞		
6	bei	機能性内容語	反転詞		
7	dai	機能性内容語	代動詞		
8	gei	機能性内容語	肯定詞		
9	mai	機能性内容語	私		
10	rei	機能性内容語	all		
11	xau	機能性内容語	some		
12	nau	機能性内容語	否定詞		
13	lau	機能性内容語	[未割当]		
14	dra	接頭辞	最中 		
15	tro	接頭辞	"NOW, 今"		
16	gra	接頭辞	"HERE, ここ"		
17	kro	接頭辞	事後		
18	bra	接頭辞	繰り返し		
19	pro	接頭辞	"BEFORE, 前"		
20	fru	接頭辞	開始		
21	gle	接頭辞	完了		
22	kla	接頭辞	"AFTER, 後"		
23	ble	接頭辞	"NEAR, 近い"		
24	pla	接頭辞	事前		
25	flo	接頭辞	"FAR, 遠い"		
26	tisti	letesimi	"toki, talk, say, 言う, いう, 会話"		
27	kiski	letesimi	"pona, good, 良い"		
28	pispi	letesimi	"jan, human, people, 人"		
29	dustu	letesimi	"tawa, 向かう, 到達点"		
30	gusku	letesimi	"kama, to come, 来る, くる"		
31	xeske	letesimi	"sona, know, 知る"		
32	buspu	letesimi	"mute, much, many, たくさん"		
33	seste	letesimi	"tenpo, time, 時, 回"		
34	tente	letesimi	"wile, want, 欲しい, 望む"		
35	fespe	letesimi	"lon, there is, ある, いる"		
36	tultu	letesimi	"ken, can, できる"		
37	dinti	letesimi	"suli, big, 大きい, おおきい"		
38	kenke	letesimi	"moku, to eat, 食べる, たべる"		
39	ginki	letesimi	"ma, place, どこ, 所"		
40	kulku	letesimi	"luka, hand, 手, て, 活動体の身体の一部で、掴む機能を有するもの。"		
41	pempe	letesimi	"lukin, oko, to see, 見る, みる, 何らかの機能により、視覚情報を得ること。"		
42	pulpu	letesimi	"pali, 作る, 活動体が何かものを存在するようにすること"		
43	dolto	letesimi	"wan, unite, 合わせる, 複数のものが一つのものになること。"		
